Diffusion Energy,Rotation Energy,Coupling Energy,Comparison File,Frequency Similarity Score
0.8,1.6,0.6,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM20_graph_metrics.csv,40.806666666666665
0.8,1.6,0.6,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM31_graph_metrics.csv,38.155
0.8,1.6,0.6,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM57_b_graph_metrics.csv,41.00666666666666
0.8,1.6,0.6,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM57_c_graph_metrics.csv,97.45499999999998
0.8,1.6,0.6,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM57_graph_metrics.csv,39.14000000000001
0.8,1.6,0.6,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM79_graph_metrics.csv,66.80666666666667
0.8,1.6,0.6,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM86_graph_metrics.csv,409.8066666666666
0.8,1.6,0.6,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\TestForSkeletonization_2_graph_metrics.csv,655.405
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM02_graph_metrics.csv,37.606666666666655
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,41.74
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM123_graph_metrics.csv,255.40666666666664
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM131_graph_metrics.csv,73.54
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM194_graph_metrics.csv,21.404999999999998
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM20_graph_metrics.csv,15.073333333333329
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM31_graph_metrics.csv,40.254999999999995
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM57_b_graph_metrics.csv,10.206666666666669
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM57_c_graph_metrics.csv,67.955
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM57_graph_metrics.csv,61.40666666666666
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM79_graph_metrics.csv,87.74
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM86_graph_metrics.csv,262.74
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\TestForSkeletonization_2_graph_metrics.csv,548.505
0.8,1.6,1.2,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM02_graph_metrics.csv,38.03999999999999
0.8,1.6,1.2,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,41.50666666666666
0.8,1.6,1.2,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM123_graph_metrics.csv,261.84
0.8,1.6,1.2,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM131_graph_metrics.csv,69.30666666666667
0.8,1.6,1.2,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM194_graph_metrics.csv,20.729999999999997
0.8,1.6,1.2,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM20_graph_metrics.csv,14.839999999999995
